BillNo,Sn,ArriveDate,RecordDate
QZ0019060,0,961121,961226
QZ0019061,0,961121,961226
QZ0019062,0,961121,961226
QZ0019063,0,961121,961226
QZ0019064,0,961121,961226
QZ0019065,0,961121,961226
QZ0019066,0,961121,961206
QZ0019067,0,961121,961206
QZ0019068,0,961121,961206
QZ0019069,0,961121,961226
QZ0019070,0,961120,961204
QZ0019071,0,961121,961212
QZ0019072,0,961221,970114
QZ0019073,0,961120,961204
QZ0019074,0,970119,961210
QZ0019075,0,961119,961130
QZ0019076,0,961119,961130
QZ0019077,0,961119,961130
QZ0019078,0,961119,961130
QZ0019079,0,961120,961210
QZ0019080,0,961119,961130
QZ0019081,0,961119,961130
QZ0019082,0,961119,961130
QZ0019083,0,961119,961130
QZ0019084,0,961121,961226
QZ0019085,0,961119,961130
QZ0019086,0,961119,961130
QZ0019087,0,961119,961130
QZ0019088,0,970119,961210
QZ0019089,0,961121,961206
QZ0019090,0,961119,961130
QZ0019091,0,961119,961130
QZ0019092,0,961121,961226
QZ0019093,0,961121,961226
QZ0019094,0,961121,961226
QZ0019095,0,961120,961204
QZ0019096,0,961119,961212
QZ0019097,0,961119,961212
QZ0019098,0,961119,961212
QZ0019099,0,961119,961130
QZ0019100,0,961120,961204
QZ0019101,0,961121,961226
QZ0019102,0,970119,961210
QZ0019103,0,961120,961204
QZ0019104,0,961119,961130
QZ0019105,0,961119,961130
QZ0019106,0,961120,961210
QZ0019107,0,970119,961210
QZ0019108,0,970119,961210
QZ0019109,0,970119,961210
QZ0019110,0,961119,961130
QZ0019111,0,961121,961226
QZ0019112,0,961121,961226
QZ0019113,0,961119,961130
QZ0019114,0,961119,961130
QZ0019115,0,961119,961130
QZ0019116,0,961119,961130
QZ0019117,0,970119,961210
QZ0019118,0,961121,961226
QZ0019119,0,961119,961130
QZ0019120,0,961119,961130
QZ0019121,0,961119,961130
QZ0019122,0,961119,961130
QZ0019123,0,970119,961210
QZ0019124,0,961121,961226
QZ0019125,0,961119,961130
QZ0019126,0,961119,961130
QZ0019127,0,961119,961130
QZ0019128,0,961121,961226
QZ0019129,0,961121,961226
QZ0019130,0,961119,961130
QZ0019131,0,961121,961226
QZ0019132,0,961121,961226
QZ0019133,0,961119,961130
QZ0019134,0,961122,961212
QZ0019135,0,961121,961226
QZ0019136,0,961121,961226
QZ0019137,0,970119,961210
QZ0019138,0,961121,961226
QZ0019139,0,961122,961212
QZ0019140,0,961119,961130
QZ0019141,0,961119,961130
QZ0019142,0,961120,961210
QZ0019143,0,961120,961204
QZ0019144,0,961119,961130
QZ0019145,0,961120,961204
QZ0019146,0,961119,961130
QZ0019147,0,961121,961226
QZ0019148,0,961119,961130
QZ0019149,0,961119,961130
QZ0019150,0,961121,961226
QZ0019151,0,961119,961130
QZ0019152,0,961121,961226
QZ0019153,0,961119,961130
QZ0019154,0,961119,961130
QZ0019155,0,961119,961130
QZ0019156,0,961119,961130
QZ0019157,0,961119,961130
QZ0019158,0,961119,961130
QZ0019159,0,961121,961204
QZ0019160,0,961119,961130
QZ0019161,0,961119,961130
QZ0019162,0,961119,961130
QZ0019163,0,961119,961130
QZ0019164,0,961122,961212
